[2026-05-06 10:15:34] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:15:35] MOVE chetan (red): 77→58 [0.1ms]
[2026-05-06 10:15:36] MOVE asha (blue): 117→119 [0.2ms]
[2026-05-06 10:15:37] MOVE chetan (red): 16→5 [0.1ms]
[2026-05-06 10:15:38] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:15:39] MOVE chetan (red): 94→53 [0.1ms]
[2026-05-06 10:15:39] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:15:40] MOVE chetan (red): 53→43 [0.1ms]
[2026-05-06 10:15:41] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:15:42] MOVE chetan (red): 83→73 [0.2ms]
[2026-05-06 10:15:43] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:15:44] MOVE chetan (red): 73→32 [0.1ms]
[2026-05-06 10:15:44] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:15:46] MOVE chetan (red): 32→31 [0.1ms]
[2026-05-06 10:15:47] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:15:48] MOVE chetan (red): 4→7 [0.3ms]
[2026-05-06 10:15:49] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:15:50] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:15:51] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:15:52] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:15:53] MOVE asha (blue): 119→117 [0.2ms]
[2026-05-06 10:15:53] MOVE chetan (red): 7→4 [0.3ms]
[2026-05-06 10:15:54] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:15:55] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:15:56] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:15:57] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:15:58] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:15:59] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:15:59] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:16:00] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:16:01] MOVE asha (blue): 117→119 [0.2ms]
[2026-05-06 10:16:02] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:16:03] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:16:04] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:16:05] MOVE asha (blue): 117→119 [0.3ms]
[2026-05-06 10:16:06] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:16:07] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:16:08] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:16:09] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:16:10] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:16:11] MOVE asha (blue): 119→117 [0.2ms]
[2026-05-06 10:16:12] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:16:13] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:16:14] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:16:15] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:16:16] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:16:17] MOVE asha (blue): 117→119 [0.3ms]
[2026-05-06 10:16:18] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:16:19] MOVE asha (blue): 119→117 [0.2ms]
[2026-05-06 10:16:20] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:16:21] MOVE asha (blue): 117→119 [0.2ms]
[2026-05-06 10:16:23] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:16:23] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:16:25] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:16:25] MOVE asha (blue): 117→119 [0.2ms]
[2026-05-06 10:16:27] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:16:28] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:16:29] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:16:30] MOVE asha (blue): 117→119 [0.2ms]
[2026-05-06 10:16:31] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:16:32] MOVE asha (blue): 119→117 [0.2ms]
[2026-05-06 10:16:33] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:16:34] MOVE asha (blue): 117→119 [0.2ms]
[2026-05-06 10:16:35] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:16:36] MOVE asha (blue): 119→117 [0.2ms]
[2026-05-06 10:16:37] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:16:38] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:16:39] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:16:40] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:16:41] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:16:42] MOVE asha (blue): 117→119 [0.2ms]
[2026-05-06 10:16:43] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:16:43] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:16:44] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:16:45] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:16:46] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:16:48] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:16:48] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:16:49] MOVE asha (blue): 117→119 [0.2ms]
[2026-05-06 10:16:50] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:16:51] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:16:52] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:16:53] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:16:54] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:16:54] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:16:55] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:16:56] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:16:57] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:16:58] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:16:59] MOVE chetan (red): 43→18 [0.3ms]
[2026-05-06 10:16:59] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:17:00] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:17:01] MOVE asha (blue): 102→111 [0.1ms]
[2026-05-06 10:17:02] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:17:03] MOVE asha (blue): 111→115 [0.1ms]
[2026-05-06 10:17:04] MOVE chetan (red): 7→4 [0.3ms]
[2026-05-06 10:17:05] MOVE asha (blue): 54→74 [0.2ms]
[2026-05-06 10:17:06] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:17:07] MOVE asha (blue): 67→78 [0.2ms]
[2026-05-06 10:17:07] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:17:08] MOVE asha (blue): 68→89 [0.2ms]
[2026-05-06 10:17:09] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:17:10] MOVE asha (blue): 89→102 [0.2ms]
[2026-05-06 10:17:11] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:17:12] MOVE asha (blue): 37→48 [0.1ms]
[2026-05-06 10:17:13] MOVE chetan (red): 4→7 [0.1ms]
