[2026-05-15 23:18:50] MOVE asha (blue): 112→114 [0.2ms]
[2026-05-15 23:18:51] MOVE chetan (red): 67→58 [0.3ms]
[2026-05-15 23:18:52] MOVE asha (blue): 116→118 [0.4ms]
[2026-05-15 23:18:54] MOVE chetan (red): 71→53 [0.4ms]
[2026-05-15 23:18:55] MOVE asha (blue): 49→67 [0.2ms]
[2026-05-15 23:18:56] MOVE chetan (red): 58→59 [0.3ms]
[2026-05-15 23:18:57] MOVE asha (blue): 117→119 [0.4ms]
[2026-05-15 23:18:58] MOVE chetan (red): 59→49 [0.2ms]
[2026-05-15 23:18:59] MOVE asha (blue): 118→120 [0.3ms]
[2026-05-15 23:19:00] MOVE chetan (red): 53→42 [0.3ms]
[2026-05-15 23:19:01] MOVE asha (blue): 31→52 [0.2ms]
[2026-05-15 23:19:02] MOVE chetan (red): 42→41 [0.3ms]
[2026-05-15 23:19:03] MOVE asha (blue): 52→72 [0.2ms]
[2026-05-15 23:19:05] MOVE chetan (red): 73→63 [0.4ms]
[2026-05-15 23:19:06] MOVE asha (blue): 72→83 [0.2ms]
[2026-05-15 23:19:07] MOVE chetan (red): 63→15 [0.2ms]
[2026-05-15 23:19:08] MOVE asha (blue): 14→58 [0.2ms]
[2026-05-15 23:19:09] MOVE chetan (red): 62→52 [0.2ms]
[2026-05-15 23:19:10] MOVE asha (blue): 83→104 [0.2ms]
[2026-05-15 23:19:11] MOVE chetan (red): 52→27 [0.2ms]
[2026-05-15 23:19:12] MOVE asha (blue): 114→112 [0.2ms]
[2026-05-15 23:19:13] MOVE chetan (red): 27→14 [0.2ms]
[2026-05-15 23:19:15] MOVE asha (blue): 104→106 [0.3ms]
[2026-05-15 23:19:16] MOVE chetan (red): 14→5 [0.3ms]
[2026-05-15 23:19:17] MOVE asha (blue): 106→115 [0.5ms]
[2026-05-15 23:19:18] MOVE chetan (red): 15→6 [0.3ms]
[2026-05-15 23:19:19] MOVE asha (blue): 112→116 [0.3ms]
[2026-05-15 23:19:20] MOVE chetan (red): 89→77 [0.2ms]
[2026-05-15 23:19:21] MOVE asha (blue): 115→117 [0.2ms]
[2026-05-15 23:19:22] MOVE chetan (red): 28→16 [0.2ms]
[2026-05-15 23:19:23] MOVE asha (blue): 117→114 [0.3ms]
[2026-05-15 23:19:24] MOVE chetan (red): 49→39 [0.2ms]
[2026-05-15 23:19:26] MOVE asha (blue): 116→118 [0.3ms]
[2026-05-15 23:19:27] MOVE chetan (red): 105→93 [0.2ms]
[2026-05-15 23:19:28] MOVE asha (blue): 67→88 [0.2ms]
[2026-05-15 23:19:29] MOVE chetan (red): 41→29 [0.3ms]
[2026-05-15 23:19:30] MOVE asha (blue): 8→17 [0.6ms]
[2026-05-15 23:19:31] MOVE chetan (red): 77→67 [0.2ms]
[2026-05-15 23:19:32] MOVE asha (blue): 58→77 [0.5ms]
[2026-05-15 23:19:33] MOVE chetan (red): 93→82 [0.2ms]
[2026-05-15 23:19:34] MOVE asha (blue): 17→15 [0.3ms]
[2026-05-15 23:19:35] MOVE chetan (red): 6→7 [0.2ms]
[2026-05-15 23:19:37] MOVE asha (blue): 114→117 [0.3ms]
[2026-05-15 23:19:38] MOVE chetan (red): 16→17 [0.4ms]
[2026-05-15 23:19:39] MOVE asha (blue): 79→91 [0.6ms]
[2026-05-15 23:19:40] MOVE chetan (red): 29→9 [0.2ms]
[2026-05-15 23:19:41] MOVE asha (blue): 51→60 [0.3ms]
[2026-05-15 23:19:42] MOVE chetan (red): 82→71 [0.3ms]
[2026-05-15 23:19:43] MOVE asha (blue): 94→106 [0.2ms]
[2026-05-15 23:19:44] MOVE chetan (red): 71→62 [0.2ms]
[2026-05-15 23:19:45] MOVE asha (blue): 15→27 [0.3ms]
[2026-05-15 23:19:46] MOVE chetan (red): 7→6 [0.3ms]
[2026-05-15 23:19:48] MOVE asha (blue): 77→89 [0.3ms]
[2026-05-15 23:19:49] MOVE chetan (red): 67→58 [0.2ms]
[2026-05-15 23:19:50] MOVE asha (blue): 27→70 [0.2ms]
[2026-05-15 23:19:51] MOVE chetan (red): 9→8 [0.3ms]
[2026-05-15 23:19:52] MOVE asha (blue): 88→92 [0.3ms]
[2026-05-15 23:19:53] MOVE chetan (red): 8→4 [0.3ms]
[2026-05-15 23:19:54] MOVE asha (blue): 60→104 [0.5ms]
[2026-05-15 23:19:55] MOVE chetan (red): 17→8 [0.3ms]
[2026-05-15 23:19:56] MOVE asha (blue): 106→114 [0.2ms]
[2026-05-15 23:19:57] MOVE chetan (red): 58→49 [0.2ms]
[2026-05-15 23:19:59] MOVE asha (blue): 91→113 [0.3ms]
[2026-05-15 23:20:00] MOVE chetan (red): 39→28 [0.2ms]
[2026-05-15 23:20:01] MOVE asha (blue): 89→102 [0.3ms]
[2026-05-15 23:20:02] MOVE chetan (red): 8→9 [0.3ms]
[2026-05-15 23:20:03] MOVE asha (blue): 70→80 [0.3ms]
[2026-05-15 23:20:04] MOVE chetan (red): 49→39 [0.3ms]
[2026-05-15 23:20:05] MOVE asha (blue): 80→101 [0.3ms]
[2026-05-15 23:20:06] MOVE chetan (red): 6→3 [0.2ms]
[2026-05-15 23:20:07] MOVE asha (blue): 101→116 [0.2ms]
[2026-05-15 23:20:08] MOVE chetan (red): 39→16 [0.3ms]
[2026-05-15 23:20:10] MOVE asha (blue): 113→112 [0.2ms]
[2026-05-15 23:20:11] MOVE chetan (red): 28→8 [0.2ms]
[2026-05-15 23:20:11] MOVE asha (blue): 104→115 [0.3ms]
[2026-05-15 23:20:12] MOVE chetan (red): 16→7 [0.4ms]
[2026-05-15 23:20:13] MOVE asha (blue): 102→111 [2.2ms]
[2026-05-15 23:20:13] MOVE chetan (red): 62→52 [0.3ms]
[2026-05-15 23:20:14] MOVE asha (blue): 92→105 [0.3ms]
[2026-05-15 23:20:15] MOVE chetan (red): 52→42 [0.2ms]
[2026-05-15 23:20:15] MOVE asha (blue): 105→113 [0.2ms]
[2026-05-15 23:20:15] SCORE chetan (red): Final=1109.2, Time=12.1, Moves(82)=0.1, Pins(9)=900.0, Dist=197.0
[2026-05-15 23:20:15] SCORE asha (blue): Final=1210.6, Time=10.5, Moves(82)=0.1, Pins(10)=1000.0, Dist=200.0
[2026-05-15 23:20:15] WIN: asha (blue)
