[2026-05-08 22:57:11] MOVE asha (blue): 0→5 [0.3ms]
[2026-05-08 22:57:13] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:57:15] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:57:16] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:57:18] MOVE asha (blue): 0→5 [0.1ms]
[2026-05-08 22:57:20] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:57:21] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:57:23] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:57:25] MOVE asha (blue): 0→5 [0.1ms]
[2026-05-08 22:57:27] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:57:28] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:57:30] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:57:32] MOVE asha (blue): 0→5 [0.1ms]
[2026-05-08 22:57:34] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:57:35] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:57:37] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:57:39] MOVE asha (blue): 0→5 [0.1ms]
[2026-05-08 22:57:41] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:57:42] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:57:44] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:57:46] MOVE asha (blue): 0→5 [0.1ms]
[2026-05-08 22:57:48] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:57:50] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:57:51] MOVE chetan (red): 10→11 [0.2ms]
[2026-05-08 22:57:53] MOVE asha (blue): 0→5 [0.1ms]
[2026-05-08 22:57:55] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:57:57] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:57:59] MOVE chetan (red): 10→11 [0.2ms]
[2026-05-08 22:58:00] MOVE asha (blue): 0→5 [0.2ms]
[2026-05-08 22:58:02] MOVE chetan (red): 11→10 [0.2ms]
[2026-05-08 22:58:04] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:58:06] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:58:08] MOVE asha (blue): 0→5 [0.2ms]
[2026-05-08 22:58:10] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:58:11] MOVE asha (blue): 5→0 [0.2ms]
[2026-05-08 22:58:13] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:58:15] MOVE asha (blue): 0→5 [0.2ms]
[2026-05-08 22:58:17] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:58:19] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:58:21] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:58:22] MOVE asha (blue): 0→5 [0.2ms]
[2026-05-08 22:58:24] MOVE chetan (red): 11→10 [0.2ms]
[2026-05-08 22:58:26] MOVE asha (blue): 5→0 [0.2ms]
[2026-05-08 22:58:28] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:58:30] MOVE asha (blue): 0→5 [0.1ms]
[2026-05-08 22:58:32] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:58:34] MOVE asha (blue): 5→0 [1.8ms]
[2026-05-08 22:58:35] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:58:37] MOVE asha (blue): 0→5 [0.2ms]
[2026-05-08 22:58:39] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:58:41] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:58:42] MOVE chetan (red): 10→11 [0.2ms]
[2026-05-08 22:58:44] MOVE asha (blue): 0→5 [0.5ms]
[2026-05-08 22:58:46] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:58:48] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:58:49] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:58:51] MOVE asha (blue): 0→5 [0.2ms]
[2026-05-08 22:58:53] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:58:55] MOVE asha (blue): 5→0 [0.1ms]
[2026-05-08 22:58:57] MOVE chetan (red): 10→11 [0.1ms]
[2026-05-08 22:58:58] MOVE asha (blue): 0→5 [0.2ms]
[2026-05-08 22:59:00] MOVE chetan (red): 11→10 [0.1ms]
[2026-05-08 22:59:02] MOVE asha (blue): 5→0 [0.1ms]
