[2026-05-15 22:51:33] MOVE asha (blue): 89→93 [0.2ms]
[2026-05-15 22:51:34] MOVE chetan (red): 71→61 [0.3ms]
[2026-05-15 22:51:35] MOVE asha (blue): 79→102 [0.4ms]
[2026-05-15 22:51:37] MOVE chetan (red): 61→51 [0.7ms]
[2026-05-15 22:51:38] MOVE asha (blue): 41→52 [0.3ms]
[2026-05-15 22:51:39] MOVE chetan (red): 60→37 [0.4ms]
[2026-05-15 22:51:40] MOVE asha (blue): 16→60 [0.3ms]
[2026-05-15 22:51:41] MOVE chetan (red): 37→39 [0.2ms]
[2026-05-15 22:51:42] MOVE asha (blue): 52→48 [0.3ms]
[2026-05-15 22:51:43] MOVE chetan (red): 29→27 [0.3ms]
[2026-05-15 22:51:44] MOVE asha (blue): 93→105 [0.5ms]
[2026-05-15 22:51:46] MOVE chetan (red): 51→26 [1.1ms]
[2026-05-15 22:51:47] MOVE asha (blue): 48→57 [0.2ms]
[2026-05-15 22:51:48] MOVE chetan (red): 38→15 [0.2ms]
[2026-05-15 22:51:49] MOVE asha (blue): 60→69 [0.3ms]
[2026-05-15 22:51:50] MOVE chetan (red): 39→37 [0.2ms]
[2026-05-15 22:51:51] MOVE asha (blue): 92→91 [0.2ms]
[2026-05-15 22:51:52] MOVE chetan (red): 37→14 [0.2ms]
[2026-05-15 22:51:53] MOVE asha (blue): 91→93 [0.3ms]
[2026-05-15 22:51:55] MOVE chetan (red): 26→32 [0.3ms]
[2026-05-15 22:51:56] MOVE asha (blue): 93→106 [0.2ms]
[2026-05-15 22:51:57] MOVE chetan (red): 58→56 [0.5ms]
[2026-05-15 22:51:58] MOVE asha (blue): 69→79 [0.4ms]
[2026-05-15 22:51:59] MOVE chetan (red): 32→51 [0.3ms]
[2026-05-15 22:52:00] MOVE asha (blue): 57→67 [0.3ms]
[2026-05-15 22:52:01] MOVE chetan (red): 51→32 [0.2ms]
[2026-05-15 22:52:02] MOVE asha (blue): 90→78 [0.3ms]
[2026-05-15 22:52:04] MOVE chetan (red): 32→26 [0.3ms]
[2026-05-15 22:52:05] MOVE asha (blue): 67→90 [0.3ms]
